contentid,title,addr,tel,status,score,decision_reason,matched_candidate_title,matched_candidate_addr,searched_queries,distance_m
3200001,강남스테이힐(Gangnam Stay Hill),서울특별시 강남구 테헤란로13길 65,010-2746-7882,no_match,0.0,네이버 검색 결과 없음,,,강남스테이힐(Gangnam Stay Hill) | 강남스테이힐(Gangnam Stay Hill) 서울 강남구 | 강남스테이힐(Gangnam Stay Hill) 테헤란로13길 65 | 강남스테이힐 | 강남스테이힐 서울 강남구 | 강남스테이힐 테헤란로13길 65 | Gangnam Stay Hill | Gangnam Stay Hill 서울 강남구 | Gangnam Stay Hill 테헤란로13길 65 | 서울 강남구 테헤란로13길 65 | 서울 강남구 테헤란로13길 65 강남스테이힐(Gangnam Stay Hill) | 서울 강남구 테헤란로13길 65 강남스테이힐,
3200007,교대게스트하우스,서울특별시 서초구 사임당로17길 116 서초삼성래미안아파트,010-7390-5901,closed_suspected,0.2014,"강한 일치 후보 없음: name=0.00, addr=0.29, dist=362.0788139479806",해치 스테이 게스트하우스,서울특별시 서초구 서초중앙로22길 22-8,교대게스트하우스 | 교대게스트하우스 서울 서초구 | 교대게스트하우스 사임당로17길 116 | 서울 서초구 사임당로17길 116 서초삼성래미안아파트 | 서울 서초구 사임당로17길 116 서초삼성래미안아파트 교대게스트하우스 | 서울 서초구 사임당로17길 116,362.08
3200009,그랜드 머큐어 앰버서더 서울 용산,서울특별시 용산구 청파로20길 95 (한강로3가),,review_needed,1.965,"부분 일치: name=0.00, addr=1.00, dist=193.31349012769988",그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울 용산,서울특별시 용산구 청파로20길 95,그랜드 머큐어 앰버서더 서울 용산 | 그랜드 머큐어 앰버서더 서울 용산 서울 용산구 | 그랜드 머큐어 앰버서더 서울 용산 청파로20길 95 | 서울 용산구 청파로20길 95 | 서울 용산구 청파로20길 95 그랜드 머큐어 앰버서더 서울 용산,193.31
3200011,그루브하우스,서울특별시 동대문구 서울시립대로25길 10 (전농동),010-7656-3228,closed_suspected,1.5702,"강한 일치 후보 없음: name=0.86, addr=0.12, dist=12616.288584540907",허니그루브하우스,서울특별시 영등포구 여의서로 43 614-에이113호,그루브하우스 | 그루브하우스 서울 동대문구 | 그루브하우스 서울시립대로25길 10 | 서울 동대문구 서울시립대로25길 10 | 서울 동대문구 서울시립대로25길 10 그루브하우스,12616.29
3200022,나인트리호텔 명동,서울특별시 중구 명동10길 51,02-750-0999,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=4.437180519242861",나인트리 바이 파르나스 서울 명동 I,서울특별시 중구 명동10길 51,나인트리호텔 명동 | 나인트리호텔 명동 서울 중구 | 나인트리호텔 명동 명동10길 51 | 서울 중구 명동10길 51 | 서울 중구 명동10길 51 나인트리호텔 명동,4.44
3200031,뉴천지호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔,02-2265-6131,review_needed,2.22,"부분 일치: name=0.00, addr=0.80, dist=2.582821123067018",뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔,뉴천지호텔 | 뉴천지호텔 서울 중구 | 뉴천지호텔 을지로38길 20 | 서울 중구 을지로38길 20 | 서울 중구 을지로38길 20 뉴천지호텔,2.58
3200036,단밤하우스,서울특별시 용산구 청파로85가길 10-4 (서계동),010-5548-1959,review_needed,1.75,"부분 일치: name=1.00, addr=0.00, dist=318453.4487034697",단밤하우스,전라남도 여수시 웅남4길 41,단밤하우스 | 단밤하우스 서울 용산구 | 단밤하우스 청파로85가길 10-4 | 서울 용산구 청파로85가길 10-4 | 서울 용산구 청파로85가길 10-4 단밤하우스,318453.45
3200037,담소정[한국관광 품질인증/Korea Quality],서울특별시 종로구 북촌로9길 16-2,010-3749-9550,no_match,0.0,네이버 검색 결과 없음,,,담소정[한국관광 품질인증/Korea Quality] | 담소정[한국관광 품질인증/Korea Quality] 서울 종로구 | 담소정[한국관광 품질인증/Korea Quality] 북촌로9길 16-2 | 코리아케우아엘이트와이 | 코리아케우아엘이트와이 서울 종로구 | 코리아케우아엘이트와이 북촌로9길 16-2 | 코리아 케우아엘이트와이 | 코리아 케우아엘이트와이 서울 종로구 | 코리아 케우아엘이트와이 북촌로9길 16-2 | 서울 종로구 북촌로9길 16-2 | 서울 종로구 북촌로9길 16-2 담소정[한국관광 품질인증/Korea Quality],
3200040,더리센츠호텔 동대문,서울특별시 동대문구 천호대로 383,,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=11.895454652504602",더리센츠동대문호텔,서울특별시 동대문구 천호대로 383,더리센츠호텔 동대문 | 더리센츠호텔 동대문 서울 동대문구 | 더리센츠호텔 동대문 천호대로 383 | 서울 동대문구 천호대로 383 | 서울 동대문구 천호대로 383 더리센츠호텔 동대문,11.9
3200046,던하우스,서울특별시 용산구 청파로85가길 10-4 (서계동),010-5548-1959,closed_suspected,-0.0867,"강한 일치 후보 없음: name=0.00, addr=0.11, dist=13739.870517676478",벨로파크하우스,서울특별시 강동구 천중로 17 1층 벨로파크하우스,던하우스 | 던하우스 서울 용산구 | 던하우스 청파로85가길 10-4 | 서울 용산구 청파로85가길 10-4 | 서울 용산구 청파로85가길 10-4 던하우스,13739.87
